nama_jurnal,url,sinta_grade,subject_area
JURNAL ILMIAH MANAJEMEN & BISNIS,http://jurnal.umsu.ac.id/index.php/mbisnis,3,Science
TMJ (Technomedia Journal),http://ijc.ilearning.co/index.php/TMJ/issue/archive,3,"Science, Education"
Tadrib: Jurnal Pendidikan Agama Islam,http://jurnal.radenfatah.ac.id/index.php/Tadrib,3,"Science, Education, Social, Engineering"
Jesya (Jurnal Ekonomi dan Ekonomi Syariah),https://stiealwashliyahsibolga.ac.id/jurnal,3,Science
IT Journal Research and Development,https://journal.uir.ac.id/index.php/ITJRD,3,"Science, Engineering"
Media Pendidikan Matematika,https://e-journal.undikma.ac.id/index.php/jmpm,3,"Science, Education, Social"
JEPIN (Jurnal Edukasi dan Penelitian Informatika),http://jurnal.untan.ac.id/index.php/jepin/index,3,"Science, Education"
Jurnal Ilmiah Manajemen Kontigensi,http://jurnal.dim-unpas.web.id/index.php/JIMK/issue/archive,3,Science
Jurnal Sains dan Edukasi Sains,https://ejournal.uksw.edu/juses,3,"Science, Education"
Jurnal Biotek,http://journal.uin-alauddin.ac.id/index.php/biotek/index,3,"Science, Education, Agriculture"
Jurnal Manajemen Motivasi,http://openjurnal.unmuhpnk.ac.id/index.php/jm_motivasi,3,"Economy, Science"
Jurnal Sisfokom (Sistem Informasi dan Komputer),http://jurnal.atmaluhur.ac.id/index.php/sisfokom/index,3,"Science, Engineering"
Didaktika Tauhidi: Jurnal Pendidikan Guru Sekolah Dasar,https://ojs.unida.ac.id/jtdik/issue/view/307,3,"Science, Education, Social"
Jurnal Informatika: Jurnal Pengembangan IT,https://ejournal.poltekharber.ac.id/index.php/informatika,3,"Science, Engineering"
Owner : Riset dan Jurnal Akuntansi,https://owner.polgan.ac.id/index.php/owner/index,3,"Economy, Science, Education, Social"
Psikobuletin: Jurnal Ilmiah Psikologi,http://ejournal.uin-suska.ac.id/index.php/Psikobuletin,3,"Religion, Humanities, Science, Education, Social"
IJIE (Indonesian Journal of Informatics Education),https://jurnal.uns.ac.id/ijie,3,"Science, Education, Engineering"
Krisna: Kumpulan Riset Akuntansi,http://ejournal.warmadewa.ac.id/index.php/krisna,3,"Economy, Science"
IJNMT (International Journal of New Media Technology),https://ejournals.umn.ac.id/index.php/IJNMT/issue/archive,3,Science
METIK JURNAL,https://journal.universitasmulia.ac.id/index.php/metik,3,Science
ASEAN Journal of Science and Engineering Education (AJSEE),https://ejournal.upi.edu/index.php/AJSEE,3,"Science, Education, Engineering"
(JPFT) Jurnal Pendidikan Fisika dan Teknologi,http://jurnalfkip.unram.ac.id/index.php/JPFT/index,3,"Science, Education"
Benefit: Jurnal Manajemen dan Bisnis,https://journals2.ums.ac.id/index.php/benefit,3,"Economy, Science"
Journal Emerging Technologies in Education,https://research.adra.ac.id/index.php/jete,3,"Science, Education"
Jurnal Kesehatan Vokasional,https://jurnal.ugm.ac.id/jkesvo,3,"Health, Science, Education"
Edufisika: Jurnal Pendidikan Fisika,https://online-journal.unja.ac.id/index.php/EDP,3,"Science, Education"
Jurnal Ilmiah Teknik Elektro Komputer dan Informatika (JITEKI),http://journal.uad.ac.id/index.php/JITEKI,3,"Science, Engineering"
"Electronic Journal of Education, Social Economics and Technology",https://ejeset.saintispub.com,3,"Religion, Economy, Humanities, Health, Science, Education, Art, Social, Engineering"
Jurnal Teknoif Teknik Informatika Institut Teknologi Padang,https://teknoif.itp.ac.id/index.php/teknoif/index,3,"Science, Engineering"
Journal of Aquaculture and Enviroment,https://journal.unibos.ac.id/jae,3,"Science, Agriculture, Social, Engineering"
Rabit : Jurnal Teknologi dan Sistem Informasi Univrab,http://jurnal.univrab.ac.id/index.php/rabit/index,3,"Science, Engineering"
Media Komunikasi Geografi,https://ejournal.undiksha.ac.id/index.php/MKG/issue/archive,3,Science
JITE (JOURNAL OF INFORMATICS AND TELECOMMUNICATION ENGINEERING),https://ojs.uma.ac.id/index.php/jite,3,"Science, Engineering"
Islamic Economics Journal,https://ejournal.unida.gontor.ac.id/index.php/JEI/index,3,"Economy, Humanities, Science, Social"
International Journal of Industrial Optimization (IJIO),http://journal2.uad.ac.id/index.php/ijio/index,3,"Science, Engineering"
Media Riset Bisnis & Manajemen,https://e-journal.trisakti.ac.id/index.php/mrbm,3,Science
Journal of Computers and Digital Business,https://jurnal.delitekno.co.id/index.php/jcbd,3,Science
Lectura : Jurnal Pendidikan,http://journal.unilak.ac.id/index.php/lectura,3,"Humanities, Science, Education, Art, Social"
Scientechno: Journal of Science and Technology,https://research.adra.ac.id/index.php/Scientechno,3,"Science, Education, Social"
Sinkron : Jurnal dan Penelitian Teknik Informatika,http://jurnal.polgan.ac.id/index.php/sinkron,3,"Science, Education, Engineering"
NUSRA: Jurnal Penelitian dan Ilmu Pendidikan,https://ejournal.nusantaraglobal.ac.id/index.php/nusra/index,3,"Health, Science, Education, Agriculture, Engineering"
Jurnal Sains dan Kesehatan,https://jsk.ff.unmul.ac.id/index.php/JSK,3,"Health, Science, Agriculture"
Jurnal Tekstil: Jurnal Keilmuan dan Aplikasi Bidang Tekstil dan Manajemen lndustri,https://jute.ak-tekstilsolo.ac.id/index.php/jurnal,3,"Science, Engineering"
Journal of Wetlands Environmental Management,http://ijwem.unlam.ac.id/index.php/ijwem,3,"Science, Social"
International Journal of Recent Technology and Applied Science (IJORTAS),https://lamintang.org/journal/index.php/ijortas,3,"Science, Engineering"
Tourism Scientific Journal,http://www.jurnal.stiepar.ac.id/index.php/tsj,3,"Economy, Humanities, Science, Education, Social"
Jurnal Informatika,http://ejournal.bsi.ac.id/ejurnal/index.php/ji,3,"Science, Engineering"
International Journal of Education,http://ejournal.upi.edu/index.php/ije/issue/view/1143,3,"Humanities, Science, Education, Art, Social"
Muhammadiyah Journal of Nutrition and Food Science (MJNF),https://jurnal.umj.ac.id/index.php/MJNF,3,"Health, Science"
Jurnal Ilmiah Informatika Komputer,https://ejournal.gunadarma.ac.id/index.php/infokom,3,Science
JURNAL RISET DAN APLIKASI: AKUNTANSI DAN MANAJEMEN,http://jraam.polinema.ac.id/index.php/jraam1/index,3,"Economy, Science, Social"
JIPI (Jurnal Ilmiah Penelitian dan Pembelajaran Informatika),https://jurnal.stkippgritulungagung.ac.id/index.php/jipi,3,"Science, Education"
Jurnal Nasional Teknologi dan Sistem Informasi (TEKNOSI),https://teknosi.fti.unand.ac.id/index.php/teknosi/issue/archive,3,Science
Teknika,https://ejournal.ikado.ac.id/index.php/teknika,3,Science
International Journal of Chemistry Education Research,http://journal.uii.ac.id/IJCER,3,"Science, Education, Social"
Jurnal Pelita PAUD,http://jurnal.upmk.ac.id/index.php/pelitapaud/issue/archive,3,"Science, Education"
Jurnal Geologi dan Sumberdaya Mineral (Journal of Geology and Mineral Resources),http://jgsm.geologi.esdm.go.id/index.php/JGSM,3,"Science, Education, Social, Engineering"
ISM (Intisari Sains Medis) : Jurnal Kedokteran,http://isainsmedis.id,3,"Health, Science"
Jurnal Sistem Cerdas,https://apic.id/jurnal/index.php/jsc,3,"Science, Education, Engineering"
