publisher_name,sinta_grade,article_title,authors,abstract,keywords,pub_date,article_url,doi,oai_identifier
Universitas Islam Negeri Sultan Syarif Kasim Riau,3,Pengaruh Kontrol Diri Rendah terhadap Perilaku Konsumtif  Belanja Online Remaja,"Aimen, Ummi; Tobing, David Hizkia","Di era digitalisasi ini, remaja rentan berperilaku konsumtif. Salah satu faktor yang menyebabkan remaja berperilaku konsumtif adalah rendahnya kontrol diri. Artikel ini akan mencoba untuk membahas mengapa remaja rentan untuk berperilaku konsumtif dan belanja secara online, juga pengaruh kontrol diri terhadap perilaku konsumtif remaja, dalam perspektif teoritis juga berdasarkan hasil dari penelitian serupa. Besarnya jumlah pengguna internet membuat berbagai perusahaan menggunakan internet sebagai wadah untuk memasarkan dan menjual produk mereka. Akibatnya, perilaku belanja mengalami perubahan dari belanja secara konvensional menjadi belanja online. Fenomena online shop dianggap lebih hemat waktu praktis dan dianggap lebih murah, sehingga lebih digemari oleh konsumen. Ciri khas dari belanja online ini dapat memicu perilaku konsumtif terutama bagi remaja",,2022-05-31,https://ejournal.uin-suska.ac.id/index.php/Psikobuletin/article/view/9930,,oai:ejournal.uin-suska.ac.id:article/9930
Universitas Islam Negeri Sultan Syarif Kasim Riau,3,Hubungan Cyberloafing Dengan Prokrastinasi Kerja Pada Pegawai Dinas Kependudukan Dan Pencatatan Sipil,"Filasufiah, Nadia Edelwais",Pegawai dituntut untuk menggunakan waktu seacara efektif sehingga dapat meningkatkan produktifitas. Pegawai bukannya kekurangan waktu melainkan melakukan aktifitas yang tidak berhubungan dengan pekerjaan yang menyebabkan perilaku menunda-nunda yang disebut prokrastinasi kerja. Salah satu yang menyebabkan prokrastinasi kerja ialah cyberloafing yakni menggunakan internet yang difasilitasi oleh instansi untuk keperluan pribadi. Penelitian ini bertujuan untuk mengetahui hubungan cyberloafing dengan prokrastinasi kerja. Metode penelitian ini adalah kuantitatif korelasional dengan alat ukur skala cyberloafing dan skala prokrastinasi kerja. Jumlah subjek sebanyak 78 orang pegawai Dinas Kependudukan dan Pencatatan Sipil. Hasil penelitian menunjukkan terdapat hubungan yang positif antar cyberloafing dengan prokrastinasi kerja Dinas Kependudukan dan Pencatatan Sipil (DISDUKCAPIL) Kota.,,2022-05-31,https://ejournal.uin-suska.ac.id/index.php/Psikobuletin/article/view/13121,,oai:ejournal.uin-suska.ac.id:article/13121
Universitas Islam Negeri Sultan Syarif Kasim Riau,3,Persepsi Sense Of Humor Guru Dengan Keberanian Bertanya Pada Siswa Di Mts Negeri 4 Kampar,"Novianti, Sri Nova; Husni, Desma","Keberhasilan suatu proses pembelajaran merupakan tujuan penting dalam tujuan pendidikan di sekolah, hal tersebut tampak dalam keaktifan siswa. Salah satu tanda keaktifan siswa dalam kegiatan pembelajaran yaitu selalu memberikan respons dan aktif bertanya. Bagi siswa yang bertanya merupakan bagian penting dalam proses belajar mengajar karena siswa dapat menggali informasi, mengkorfimasi apa yang sudah diketahui, dan mengarahkan perhatian pada aspek yang belum diketahuinya. Tujuan penelitian ini untuk menemukan hubungan antara persepsi humor guru dengan keberanian bertanya siswa di MTs Negeri 4 Kampar. Penelitian ini menggunakan metode penelitian kuantitatif.Jumlah populasi dalam penelitian ini adalah 502 siswa dan jumlah sampel dalam penelitian sebanyak 218 siswa dengan menggunakan teknik proporsional stratifield random. Instrumen yang digunakan adalah skala sense of humor dengan koefisien reliabilitas sebesar 0,881 dan skala keberanian bertanya dengan koefisien reliabilitas sebesar 0,904. Berdasarkan analisis product moment corelation pearson memperoleh hasil r = 0,417 dan signifikansi sebesar 0,000 (p 0,01). Artinya ada hubungan antara persepsi siswa terhadap rasa humor guru dengan keberanian bertanya siswa di MTs Negeri 4 Kampar.Kata kunci: Persepsi, Sense of Humor, Keberanian Bertanya, Siswa.",,2022-01-31,https://ejournal.uin-suska.ac.id/index.php/Psikobuletin/article/view/14177,,oai:ejournal.uin-suska.ac.id:article/14177
Universitas Islam Negeri Sultan Syarif Kasim Riau,3,Orientasi Masa Depan Mahasiswa Yang Mengalami Prokrastinasi Akademik Saat Menyusun Skripsi,"Tiara, Nur Aziza; Susanti, Reni","AbstrakOrientasi masa depan merupakan variabel yang dapat mempengaruhi prokrastinasi akademik pada mahasiswa yang sedang mengerjakan skripsi. Penelitian ini merupakan penelitian korelasional yang bertujuan untuk melihat bagaimana hubungan antara orientasi masa depan dengan prokrastinasi akademik pada mahasiswa. Penelitian ini merupakan penelitian kuantitatif korelasional denggan alat pengumpulan data berupa skala orientasi masa depan disusun berdasarkan teori Nurmi (1991) dan skala prokrastinasi akademik disusun berdasarkan teori Ferrari dkk (1995). Subjek penelitian adalah mahasiswa Fakultas Sain dan Teknologi UIN Suska Riau. Teknik pengambilan sampel penelitian menggunakan non probability sampling, dimana pengambilan sampel memberikan peluang yang sama bagi mewakili populasi untuk dipilih menjadi sampel penelitian dengan jumlah sampel 141. Metode pengumpulan data menggunakan skala psikologi yaitu skala orientasi masa depan dan skala prokrastinasi akademik. Hipotesis yang diajukan adalah terdapat hubungan negatif antara orientasi masa depan dengan prokrastinasi akademik pada mahasiswa. Berdasarkan hasil  analisis korelasi product moment dari pearson’s hipotesis diterima terdapat hubungan yang signifikan artinya semakin tinggi orientasi masa depan maka semakin rendah orientasi masa depan pada mahasiswa dan semakin rendah orientasi masa depan maka semakin tinggi prokrastinasi akademik.Kata kunci: Orientasi masa depan; prokrastinasi akademik",,2022-01-31,https://ejournal.uin-suska.ac.id/index.php/Psikobuletin/article/view/14434,,oai:ejournal.uin-suska.ac.id:article/14434
Universitas Islam Negeri Sultan Syarif Kasim Riau,3,Perancangan Permainan Terapeutik “Ignoring Miss Rainbow” untuk Meningkatkan Kemampuan Selektif Atensi Anak GPP,"Ulfa, Fara","Anak GPP mengalami kesulitan dalam menjaga kemampuan atensinya. Salah satu kemampuan atensi yang sangat penting dalam pemrosesan informasi adalah kemampuan selektif atensi yaitu kemampuan untuk menjaga serangkaian aktivitas kognitif spesifik yaitu mempertahankan perhatian selama mengerjakan tugas sampai selesai dan benar serta mengabaikan stimulus pengganggu (Flick, 1998). Penelitian ini bertujuan untuk merancang permainan yang bernilai terapeutik yang dapat melatihkan kemampuan selektif atensi pada anak GPP. Peneliti melakukan penelitian dalam 2 tahap, pada tahap pertama peneliti merancang aplikasi permainan terapeutik, lalu pada tahap kedua peneliti melakukan uji coba awal permainan kepada anak GPP. Pada tahap 1, peneliti membuat aplikasi permainan “Ignoring Miss Rainbow” dan melakukan survey kelayakan aplikasi permainan terhadap 10 anak yang terdiri dari, 5 anak dengan permasalahan atensi dan 5 anak tanpa permasalahan atensi. Selanjutnya, pada tahap 2 peneliti melakukan uji coba awal aplikasi permainan “Ignoring Miss Rainbow” kepada 1 orang anak GPP, dengan menggunakan model eksperimen one-group pretest-posttest design. Hasil dari penelitian ini adalah adanya peningkatan kemampuan selektif atensi anak dengan GPP sebesar 13,56% yang dilihat dari peningkatan skor Response Inhibition Strenght (RIS) pada alat pengukur kemampuan selektif atensi yaitu Test of Sustained Selective Attention (TOSSA). Artinya, “Ignoring Miss Rainbow” dapat melatihkan kemampuan selektif atensi anak GPP.",,2022-01-31,https://ejournal.uin-suska.ac.id/index.php/Psikobuletin/article/view/14811,,oai:ejournal.uin-suska.ac.id:article/14811
Universitas Islam Negeri Sultan Syarif Kasim Riau,3,NO MOBILE PHONE PHOBIA (NOMOPHOBIA) DENGAN FEAR OF MISSING OUT PADA PENGGUNA MEDIA SOSIAL,"Rizal, Irfani; Widiantoro, Didik","Teknologi informasi dan komunikasi semakin berkembang dalam kehidupan manusia sehari-hari. Salah satu teknologi yang sering digunakan adalah smartphone. Manfaat smartphone adalah saling terhubung satu sama lain dan bisa saling berkomunikasi melalui chatting, pesan singkat, dan penggunaan media sosial.  Pemanfaatan smartphone dapat berdampak positif disatu sisi memiliki dampak negatif. Salah satu dampak negatifnya adalah ""takut akan kehilangan"" atau yang sering disebut dengan Fear of Missing Out. Tujuan dari penelitian ini ialah untuk  melihat hubungan antara No mobile phone phobia (Nomophobia) dengan Fear Missing Out (Fomo) pada pengguna media sosial. Subjek dalam penelitian ini berjumlah 398 orang dengan menggunakan purposive sampling. Adapun alat ukur yang digunakan adalah dengan mengadaptasi skala Fear of Missing Out oleh Przybylski, A.K., et al (2013) dan skala no mobile phone phobia oleh Yildirim (2014). Analisis data  digunakan dalam  penelitian ini adalah pearson product moment. Hasil penelitian menunjukkan bahwa ada hubungan antara nomophobia dengan Fomo pada mahasiswa pengguna media sosial.",,2022-01-31,https://ejournal.uin-suska.ac.id/index.php/Psikobuletin/article/view/14882,,oai:ejournal.uin-suska.ac.id:article/14882
Universitas Islam Negeri Sultan Syarif Kasim Riau,3,Penerimaan Diri Lansia yang Bekerja,"Jannah, Miftahul; Mujahid, Dhestina Religia","Sudah menjadi hukum alam, jika lansia mengalami penurunan fungsi fisik. Tidak sedikit lansia tetap harus bekerja ditengah penurunan fungsi fisiknya.  Penerimaan diri menjadi penting untuk dapat membuat lansia menjadi lebih nyaman dan bahagia dimasa tuanya ketika bekerja. Penelitian ini bertujuan untuk menggambarkan penerimaan diri yang terjadi pada lansia yang masih bekerja. Metode yang digunakan yakni fenomenologi dengan teknik wawancara dan observasi. Informan dalam penelitian ini sebanyak tiga informan utama dan tiga informan tambahan dari pasangan dan anak yang tinggal satu rumah dengan informan utama. Hasil yang diperoleh adalah lansia pertama menyadari kekuatan yang ada didalam dirinya menurun yang menyebabkan kelelahan dan fisiknya mudah merasakan sakit, sehingga dia memilih untuk semampunya dan tidak memaksakan diri dalam bekerja. Lansia kedua menyadari dirinya mudah kelelahan, namun lansia ini masih memaksakan diri dan marah bila sesuatu yang dikerjakan tidak sesuai dengan harapanny. Namun seiring berjalan waktu, dia dapat menerima dengan memahami kondisi yang dimiliki. Lansia ketiga menyadari bila dirinya mudah kelelahan, namun lansia ini tidak merasa kecewa atas apa yang dimilikinya. Lansia ini menganggap bahwa Tuhan sudah memberikan nikmatnya masing-masing, sehingga lansia ini memili bersabar dan berdo’a meminta pertolongan kepada Tuhan. Kesimpulannya lansia pertama menerima dengan konsep narima, lansia kedua mengalami tahapan penerimaan diri, serta lansia ketiga menerima dengan konsep narima dan qona’ah.",penerimaan diri; lansia; bekerja,2024-01-31,https://ejournal.uin-suska.ac.id/index.php/Psikobuletin/article/view/15447,,oai:ejournal.uin-suska.ac.id:article/15447
Universitas Islam Negeri Sultan Syarif Kasim Riau,3,Metode Managemen Stres untuk Meningkatkan Kesejahteraan Siswa (Studi Literatur Sistematis),"Wahyuni, Sri; Hitami, Munzir; Afandi, Muslim","Peningkatan kesejahteraan siswa sangat penting diteliti dan dikembangkan karena hal ini berkaitan dengan pengembangan kompetensi sosial, emosional dan akademik siswa serta usaha pertahanan terhadap serangan gangguan emosional yang terjadi pada siswa yakni depresi, bunuh diri, melukai diri sendiri, perilaku antisosial (bullying dan kekerasan) dan penyalahgunaan zat terlarang. Salah satu metode dalam meningkatkan kesejahteraan siswa adalah dengan metode managemen stres, karena salah satu faktor yang mempengaruhi kesejahteraan siswa adalah tingkat stres akademik. Tujuan penelitian ini adalah untuk mengindentifikasi metode managemen stres yang pernah dilakukan peneliti sebelumnya dalam meningkatkan kesejahteraan siswa. Metode yang digunakan dalam penelitian ini adalah studi literatur yang sistematis. Hasil penelitian menemukan bahwa dari 239 artikel yang ditemukan pada tahap awal, terdapat 19 artikel yang relevan sesuai dengan kriteria yang telah ditetapkan peneliti. Adapun metode managemen stres yang ditemukan dalam penelitian ini adalah metode relaksasi dan meditasi; metode mindfulness; terapi kognitif, dan metode modifikasi perilaku.",,2022-01-31,https://ejournal.uin-suska.ac.id/index.php/Psikobuletin/article/view/15719,,oai:ejournal.uin-suska.ac.id:article/15719
Universitas Islam Negeri Sultan Syarif Kasim Riau,3,Perbedaan Kemampuan Problem Solving Berdasarkan Gender pada  Guru MAN Kecamatan Lima Puluh Sumatera Utara,"Jannah, Ihda Roudhotul; Mashita, Rakhmi; Alfizar, Nur","Kemampuan Problem Solving adalah kemampuan dasar yang dibutuhkan guru dalam menghadapi permasalahan di sekolah. Tujuan penelitian ini adalah untuk mengetahui perbedaan kemampuan problem solving berdasarkan gender atau jenis kelamin dan perspektif neuroscience pada guru di Madrasah Aliyah Negeri Kecamatan Lima Puluh Sumatera Utara.Penelitian ini adalah penelitian kuantitatif dengan menggunakan teknik analisis data uji independent T-Test. Penelitian ini dilakukan kepada 70 guru di MAN Kecamatan Lima Puluh Sumatera Utara dengan menyebarkan skala problem solving, menggunakan googleform. Dari penelitian ini diperoleh hasil Uji F 0.040 dan signifikansi sebesar 0.842 ≥ 0.05. Artinya tidak ada perbedaan signifikan kemampuan problem solving berdasarkan gender atau jenis kelamin dan perspektif neuroscience pada guru di Madrasah Aliyah Negeri Kecamatan Lima Puluh Sumatera Utara",,2022-01-31,https://ejournal.uin-suska.ac.id/index.php/Psikobuletin/article/view/15970,,oai:ejournal.uin-suska.ac.id:article/15970
Universitas Islam Negeri Sultan Syarif Kasim Riau,3,Tinjauan Epistemologi Implementasi Tes Psikologi Dalam Bidang Pendidikan,"Pitaloka, Raja Aulia","Tes Psikologi adalah serangkaian alat yang digunakan Psikolog untuk mengevaluasi seseorang berdasarkan tujuan dilakukan tes. Tes Psikologi kini banyak digunakan di berbagai bidang kehidupan, termasuk di bidang pendidikan. Hasil Tes Psikologi dapat digunakan sebagai alat bantu dalam memprediksi, mendiagnosa, memantau, dan mengevaluasi. Tes Psikologi dalam bidang pendidikan biasanya dilakukan untuk pemilihan jurusan, program bimbingan karir untuk jenjang pendidikan selanjutnya, dan untuk menangani kasus-kasus yang terjadi pada dunia pendidikan. Sekarang ini banyak ditemukan sekolah-sekolah yang melaksanakan Tes Psikologi untuk para siswanya. Hal tersebut dikarenakan tes Psikologi dinilai sangat penting bagi guru dan orangtua untuk memahami potensi, bakat, dan kemampuan siswa. Selain itu, hasil Tes Psikologi dapat digunakan siswa untuk meyakinkan dan meningkatkan kesadaran diri dalam mengembangkan kemampuan mereka di bidang tertentu. Mengingat urgensi dari ilmplementasi Tes Psikologi di bidang pendidikan tersebut, maka perlu dilakukan kajian kebenaran agar kualitas pendidikan semakin meningkat. Metode dari penelitian ini adalah kajian pustaka dan didapat hasil bahwasanya faktor-faktor yang berperan dalam pendidikan siswa dapat dilihat dari hasil tes inteligensi, tes bakat, dan tes kepribadiannya.",,2022-05-31,https://ejournal.uin-suska.ac.id/index.php/Psikobuletin/article/view/16314,,oai:ejournal.uin-suska.ac.id:article/16314
